"month_year","american_count","chinese_count","indian_count","italian_count","mexican_count","thai_count"
"2010-01",24,4,1,6,11,0
"2010-02",42,1,1,8,23,1
"2010-03",74,4,1,12,38,4
"2010-04",127,4,3,22,54,1
"2010-05",152,5,3,12,63,3
"2010-06",153,11,0,16,72,4
"2010-07",290,8,10,54,128,10
"2010-08",350,11,10,74,172,4
"2010-09",424,21,17,62,175,7
"2010-10",473,47,15,88,214,20
"2010-11",439,32,13,91,181,13
"2010-12",486,24,22,95,178,14
"2011-01",558,36,13,89,221,17
"2011-02",735,33,14,93,314,26
"2011-03",737,43,7,118,308,29
"2011-04",859,45,10,118,383,32
"2011-05",1038,73,37,149,511,30
"2011-06",840,49,15,121,411,24
"2011-07",1293,50,32,176,503,14
"2011-08",1093,44,14,157,489,27
"2011-09",1072,57,24,152,489,26
"2011-10",1050,65,41,156,561,24
"2011-11",1037,100,59,181,542,41
"2011-12",1035,63,17,168,436,40
"2012-01",1204,100,31,200,482,75
"2012-02",1047,91,27,144,445,71
"2012-03",1132,80,29,168,509,69
"2012-04",1271,83,33,185,585,45
"2012-05",1188,90,15,183,531,36
"2012-06",1413,86,23,198,566,49
"2012-07",1467,82,32,188,666,37
"2012-08",1425,76,21,194,677,44
"2012-09",1453,71,39,197,551,42
"2012-10",1163,53,21,156,422,38
"2012-11",1045,68,16,156,404,64
"2012-12",1039,80,30,178,443,74
"2013-01",1051,91,28,139,397,54
"2013-02",1077,62,28,165,452,49
"2013-03",1364,85,33,237,589,86
"2013-04",1320,53,33,205,605,88
"2013-05",1598,67,21,207,741,116
"2013-06",1685,76,28,197,647,101
"2013-07",1930,80,24,258,749,81
"2013-08",1793,50,33,264,752,93
"2013-09",1658,56,22,222,636,86
"2013-10",1318,57,19,151,501,97
"2013-11",1373,55,18,176,558,105
"2013-12",1319,58,21,167,533,102
"2014-01",1489,77,25,166,632,129
"2014-02",1391,75,23,157,579,103
"2014-03",1555,75,26,161,647,155
"2014-04",1601,90,43,233,671,95
"2014-05",1778,76,25,218,774,97
"2014-06",1566,69,33,232,650,138
"2014-07",1985,60,42,222,718,130
"2014-08",1949,87,54,239,762,135
"2014-09",1648,74,35,196,630,193
"2014-10",1541,65,31,179,546,263
"2014-11",1474,76,48,176,612,128
"2014-12",1269,61,38,200,480,154
"2015-01",1493,75,32,211,562,168
"2015-02",1428,78,28,190,509,156
"2015-03",1643,77,50,218,583,165
"2015-04",1692,65,37,245,622,233
"2015-05",1756,69,56,259,731,199
"2015-06",1590,75,49,207,610,212
"2015-07",1812,75,37,243,698,182
"2015-08",1766,78,55,220,764,223
"2015-09",1547,58,42,202,565,191
"2015-10",1470,94,46,169,584,189
"2015-11",1439,91,64,194,566,188
"2015-12",1183,102,35,154,445,178
"2016-01",1428,80,41,159,545,197
"2016-02",1464,71,40,204,564,179
"2016-03",1486,74,68,165,439,155
"2016-04",1500,70,29,190,604,193
"2016-05",1708,78,53,200,607,223
"2016-06",1355,62,31,185,525,183
"2016-07",1790,61,33,221,599,168
"2016-08",1306,93,21,158,489,196
"2016-09",1329,80,24,179,449,176
"2016-10",1330,86,27,165,439,207
"2016-11",1082,55,36,136,360,214
"2016-12",1062,84,32,150,314,177
"2017-01",1062,64,23,130,303,230
"2017-02",998,82,20,133,333,224
"2017-03",1222,85,19,163,436,192
"2017-04",1384,105,20,135,485,198
"2017-05",1279,88,28,131,410,182
"2017-06",1274,80,18,145,441,159
"2017-07",1543,75,28,159,519,130
"2017-08",1176,87,15,137,426,118
"2017-09",1167,85,25,134,367,114
"2017-10",1090,96,20,117,322,136
"2017-11",896,74,13,119,254,90
"2017-12",611,58,15,83,186,64
"2018-01",713,58,18,86,250,120
"2018-02",850,68,21,110,293,89
"2018-03",836,75,19,99,289,45
"2018-04",1112,73,23,92,345,71
"2018-05",1080,60,20,82,347,35
"2018-06",965,50,8,85,340,60
"2018-07",1213,76,8,100,352,32
"2018-08",1122,83,9,126,354,47
"2018-09",1073,78,18,101,279,46
"2018-10",788,66,12,80,238,43
"2018-11",754,60,19,220,276,52
"2018-12",862,73,15,211,243,45
"2019-01",821,68,19,216,266,44
"2019-02",823,90,14,203,250,45
"2019-03",1026,61,19,212,287,56
"2019-04",1001,49,17,205,312,55
"2019-05",975,92,16,172,313,47
"2019-06",1065,79,8,187,323,62
"2019-07",1140,49,37,191,335,47
"2019-08",1011,56,24,183,316,57
"2019-09",976,58,32,169,253,33
"2019-10",689,71,35,124,249,40
"2019-11",717,54,33,123,213,35
"2019-12",660,53,41,161,228,51
"2020-01",773,40,54,117,234,36
"2020-02",760,40,84,120,235,26
"2020-03",381,17,34,54,115,21
"2020-04",85,4,13,14,54,8
"2020-05",197,3,12,22,90,11
"2020-06",388,13,7,46,173,15
"2020-07",500,14,24,59,203,11
"2020-08",639,14,19,90,212,14
"2020-09",637,10,20,88,175,15
"2020-10",630,17,14,83,153,24
"2020-11",428,14,13,84,126,25
"2020-12",179,8,9,25,89,14
"2021-01",166,10,6,33,97,6
"2021-02",369,12,12,55,142,12
"2021-03",486,15,10,53,153,11
"2021-04",507,24,17,71,138,3
"2021-05",594,30,20,85,186,25
"2021-06",606,24,24,66,185,17
"2021-07",627,18,19,69,179,37
"2021-08",607,15,16,82,173,26
"2021-09",526,20,11,78,155,22
"2021-10",444,25,14,51,110,26
"2021-11",437,16,20,43,119,20
"2021-12",424,28,21,68,109,22
"2022-01",267,9,7,27,69,9
